"site_plot","time_of_day","aranet_co2_mean","aranet_co2_sd","aranet_co2_median","aranet_t_mean","aranet_t_sd","aranet_t_median","aranet_hpa_mean","aranet_hpa_sd","aranet_hpa_median","aranet_rh_mean","aranet_rh_sd","aranet_rh_median"
"S6_Source","Daytime",486.608705827288,42.9536532635492,474,25.5078867306342,4.10528013139231,24.4,930.963281067166,9.53295571001759,930.1,79.7435057336766,11.9784732232196,78
"S6_Source","Nighttime",470.296619912624,26.9010989758203,468,22.9079328581283,1.27658449232791,22.8,938.200689972401,10.0148796352527,931.8,82.294388224471,9.31642438394382,82
"N1_A","24hr",491.268656716418,12.3009153115228,491.5,21.0749697458653,0.940555523856034,20.8,947.443736130724,1.31734854332338,947.4,98.0819043776478,2.09686470005914,99
"N1_B","24hr",567.151759834368,157.624663291307,497,22.5821739130435,2.297475632019,22.4,976.325758360079,33.631635883699,952.2,71.7345480898644,25.9075833783619,86
"N3_A","24hr",537.499614664758,128.926394804646,480,23.1091269404382,1.93616565255031,22.7,984.532676428493,27.5428221809709,968.7,74.877793680502,22.6290041539792,85
"N3_B","24hr",575.117318435754,133.365922387086,515,23.1309124767225,2.11061744860574,22.6,984.116748822434,26.6761077543907,969.2,75.5530726256983,21.8982352155544,83
"N4_A","24hr",514.338126361656,142.007433512721,447,23.2477233115468,2.07802750803073,22.6,969.614801163919,7.98248884660082,968.4,74.4816993464052,20.5247530853222,76
"N4_B","24hr",544.472664895972,121.777816792638,493,23.1604803010182,1.94577963443367,22.6,985.013711819389,27.4650019106282,968.9,74.5525675077468,21.7137182338466,81
"N7_A","24hr",487.530620386994,16.8858814035944,487,21.6472865123703,1.38058299230312,21.1,951.748962490024,1.34011414735766,951.7,94.6374700718276,5.87269799532249,98
"N7_B","24hr",518.422159887798,17.0145022965728,518,21.4727910238429,1.22049342998348,21,NA,NA,NA,95.9901584253481,4.37510683101779,99
"S1_A","24hr",519.836759239012,138.009066699067,449,23.6240349917988,2.98179033670608,23.2,943.34357572444,21.7476632252865,931.6,69.6819026790596,15.5014662716755,73
"S1_B","24hr",575.151924863247,197.75372187011,460,23.0628031788626,2.52865890163129,22.9,946.383321292187,22.4119293060395,933.8,71.0016513572092,14.5241049871933,74
"S3_A","24hr",490.06464467567,22.5492317003883,487,20.9267065161243,2.00999834612505,20.4,926.561298892989,20.9941160937344,921.1,86.0565313653137,13.8017036864787,91
"S3_B","24hr",467.994062345374,19.5167575301356,466,21.0438043401428,1.82988536535303,20.6,925.890556301689,19.6942723746279,921.2,85.4376192832403,12.9847644221467,89
"S3_Source","24hr",472.347734138973,19.5199875523442,468,21.6052794561934,3.29090607075378,20.7,928.156918429003,12.0519685879244,923.2,83.5901057401813,12.3310900754852,85
"S4_A","24hr",449.740006103143,9.77719987499949,450,20.3379615501984,1.78372239711683,19.9,915.401586817211,1.38819229503006,915.6,87.3105482656902,8.43645926791151,90
"S4_B","24hr",470.140364905139,30.0117985369507,464,20.9524460274769,2.84233012154792,20,920.147608316371,21.4201576355255,913.5,84.7381506251817,15.6628992706484,91
"S4_Source","24hr",456.050655302726,23.7840613992894,449,21.7653103891927,3.63506218834563,20.5,922.659697651978,15.2418851842446,915.3,81.1226278546156,13.3290061108106,84
"S5_A","24hr",446.286730470771,14.0082635337662,443,21.0471158820486,1.79373814459892,20.7,924.06466632178,1.4892807541047,924.2,84.6381272633213,8.90682071174384,84
"S5_B","24hr",540.088485421166,155.340274702641,453,22.7777335313175,2.94446750977105,22.4,945.396078563715,30.6800431947704,927.5,71.8642683585313,17.1903952565537,76
"S5_Source","24hr",444.12749706228,19.8893787087333,442,21.5865011750881,2.02958105873633,21,927.310208578143,2.93137113938876,927.2,83.7715922444183,9.32661376880953,84
"S6_A","24hr",548.13866039953,168.145733246034,453,23.0039312039312,2.8490809608999,22.8,940.938205128205,22.2390710557767,928.5,71.2289285332764,15.477445701527,75
"S6_B","24hr",460.841170223038,67.5747813482079,436,22.3871475473156,2.56200630841157,22.1,935.166599073001,13.7000335766694,930.6,78.0280996523754,13.4761438553883,81
"S6_Source","24hr",478.380770122941,36.6848008334457,471,24.1964509394572,3.29595597096309,23.3,934.613467115184,10.4265513429951,930.9,81.0300429184549,10.7938240638613,80
