"Sample.ID","Site.treatment","Site","Treatment","Sample","root_depth","X13CVPDB","Total.C","CComment","X15NAir","Total.N","NComment","Tray.Name","Well.Id","Type.of.Material","Analysis","Sample.Weight..mg..from.Sample.List","Internal.ID","Analysis.Number","Mass.Spec"
"N2CON9root15","N2CON","N2","CON",9,"15",-30.04,597.74,"",1.65,38.96,"","5RGOLDSMITH","E3","Root","13C, 15N",2.939,2162020,21956,"M"
"N2CON9root15d","N2CON","N2","CON",9,"15",-28.89,810.94,"",1.79,60.11,"","8LRGOLDSMITH","D1","Root","13C, 15N",2.599,2162294,25909,"M"
"N2CON9root60","N2CON","N2","CON",9,"60",-29.32,262.11,"",4.32,22.61,"","6RGOLDSMITH","A1","Root","13C, 15N",2.397,2162066,22044,"M"
"N3CO210root15","N3CO2","N3","CO2",10,"15",-28.69,356.97,"",3.26,28.95,"","6RGOLDSMITH","D12","Root","13C, 15N",2.368,2162113,22104,"M"
"N3CO210root30","N3CO2","N3","CO2",10,"30",-28.89,452.12,"",2.63,25.33,"","5RGOLDSMITH","F12","Root","13C, 15N",2.482,2162041,21980,"M"
"N3CO21root15","N3CO2","N3","CO2",1,"15",-26.04,572.01,"",0.2,29.46,"","5RGOLDSMITH","E6","Root","13C, 15N",2.136,2162023,21959,"M"
"N3CO21root30","N3CO2","N3","CO2",1,"30",-5.7,352.7,"",2.07,12.78,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","C4","Root","13C, 15N",2.841,2162189,22238,"M"
"N3CO22root15","N3CO2","N3","CO2",2,"15",-26.11,732.14,"",0.21,36.07,"","6RGOLDSMITH","H9","Root","13C, 15N",2.56,2162158,22194,"M"
"N3CO22root30","N3CO2","N3","CO2",2,"30",-25.35,673.47,"",-1.49,32.26,"","7RGOLDSMITH","F9","Root","13C, 15N",2.481,2162230,22318,"M"
"N3CO22root60","N3CO2","N3","CO2",2,"60",-3.82,204.24,"",2.01,7.85,"Contained less nitrogen than smallest reference","7RGOLDSMITH","A5","Root","13C, 15N",2.083,2162166,22206,"M"
"N3CO23root15","N3CO2","N3","CO2",3,"15",-29.66,743.67,"",0.61,37.51,"","5RGOLDSMITH","E9","Root","13C, 15N",2.863,2162026,21962,"M"
"N3CO23root30","N3CO2","N3","CO2",3,"30",-29.89,431.4,"",2.49,22.21,"","7RGOLDSMITH","A10","Root","13C, 15N",2.992,2162171,22211,"M"
"N3CO24root15","N3CO2","N3","CO2",4,"15",-29.69,608.23,"",2.52,36.97,"","6RGOLDSMITH","F6","Root","13C, 15N",2.244,2162131,22132,"M"
"N3CO24root30","N3CO2","N3","CO2",4,"30",-18,223,"",3.03,14.1,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","G7","Root","13C, 15N",2.795,2162240,22332,"M"
"N3CO24root60","N3CO2","N3","CO2",4,"60",-28.3,198.98,"",3.33,15.11,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","E10","Root","13C, 15N",2.886,2162219,22301,"M"
"N3CO25root15","N3CO2","N3","CO2",5,"15",-30.06,524.4,"",2.29,32.94,"","5RGOLDSMITH","H11","Root","13C, 15N",2.263,2162064,22013,"M"
"N3CO25root30","N3CO2","N3","CO2",5,"30",-29.2,509.89,"",2.71,35.46,"","7RGOLDSMITH","H7","Root","13C, 15N",2.415,2162252,22347,"M"
"N3CO25root60","N3CO2","N3","CO2",5,"60",-27.27,244.08,"",4.26,16.77,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","G3","Root","13C, 15N",2.108,2162236,22328,"M"
"N3CO26root15","N3CO2","N3","CO2",6,"15",-29.84,673.14,"",2.27,30.07,"","7RGOLDSMITH","E5","Root","13C, 15N",2.168,2162214,22296,"M"
"N3CO26root30","N3CO2","N3","CO2",6,"30",-28.49,328.99,"",4.46,25.2,"","7RGOLDSMITH","H1","Root","13C, 15N",2.676,2162246,22341,"M"
"N3CO26root60","N3CO2","N3","CO2",6,"60",-27.84,107.06,"",2.88,10.18,"Contained less nitrogen than smallest reference","7RGOLDSMITH","D2","Root","13C, 15N",2.432,2162199,22252,"M"
"N3CO27root15","N3CO2","N3","CO2",7,"15",-14.68,385.15,"",1.11,15.18,"Precision decreases for samples containing less than 20ugN","6RGOLDSMITH","C5","Root","13C, 15N",2.182,2162094,22082,"M"
"N3CO28root15","N3CO2","N3","CO2",8,"15",-23.96,625.42,"",1.93,36.77,"","7RGOLDSMITH","B3","Root","13C, 15N",2.589,2162176,22219,"M"
"N3CO28root30","N3CO2","N3","CO2",8,"30",-21.59,577.43,"",3.47,23.98,"","6RGOLDSMITH","C10","Root","13C, 15N",2.655,2162099,22087,"M"
"N3CO28root60","N3CO2","N3","CO2",8,"60",-12.05,404.66,"",0.12,13.95,"Precision decreases for samples containing less than 20ugN","5RGOLDSMITH","D2","Root","13C, 15N",2.549,2162007,21939,"M"
"N3CO29root15","N3CO2","N3","CO2",9,"15",-29.24,633.65,"",2.66,34.96,"","5RGOLDSMITH","D6","Root","13C, 15N",2.675,2162011,21943,"M"
"N3CO29root30","N3CO2","N3","CO2",9,"30",-29.59,509.77,"",2.29,30.34,"","7RGOLDSMITH","D4","Root","13C, 15N",2.308,2162201,22254,"M"
"N3CO29root60","N3CO2","N3","CO2",9,"60",-21.51,578.47,"",-0.4,17.5,"Precision decreases for samples containing less than 20ugN","5RGOLDSMITH","D9","Root","13C, 15N",2.629,2162014,21946,"M"
"N3CON10root15","N3CON","N3","CON",10,"15",-28.95,785.55,"",0.6,58.41,"","7RGOLDSMITH","C2","Root","13C, 15N",2.43,2162187,22236,"M"
"N3CON10root30","N3CON","N3","CON",10,"30",-28.23,412.98,"",0.79,28.76,"","7RGOLDSMITH","D9","Root","13C, 15N",2.585,2162206,22259,"M"
"N3CON10root60","N3CON","N3","CON",10,"60",-28.57,248.12,"",0.86,16.06,"Precision decreases for samples containing less than 20ugN","5RGOLDSMITH","C12","Root","13C, 15N",2.81,2162005,21931,"M"
"N3CON1root15","N3CON","N3","CON",1,"15",-29.03,621.87,"",0.93,51.12,"","5RGOLDSMITH","H2","Root","13C, 15N",2.618,2162055,22004,"M"
"N3CON1root15d","N3CON","N3","CON",1,"15",-29.68,555.99,"",1.67,41.92,"","7RGOLDSMITH","A7","Root","13C, 15N",2.206,2162168,22208,"M"
"N3CON1root30","N3CON","N3","CON",1,"30",-29.22,361.83,"",0.87,25.16,"","5RGOLDSMITH","D7","Root","13C, 15N",2.82,2162012,21944,"M"
"N3CON1root60","N3CON","N3","CON",1,"60",-28.32,174.93,"",0.96,13.15,"Precision decreases for samples containing less than 20ugN","5RGOLDSMITH","D4","Root","13C, 15N",2.567,2162009,21941,"M"
"N3CON2root15","N3CON","N3","CON",2,"15",-28.53,676.55,"",1.09,48.39,"","6RGOLDSMITH","G4","Root","13C, 15N",2.711,2162141,22171,"M"
"N3CON2root30","N3CON","N3","CON",2,"30",-28.56,333.51,"",1.74,27.62,"","7RGOLDSMITH","B11","Root","13C, 15N",2.503,2162184,22227,"M"
"N3CON2root60","N3CON","N3","CON",2,"60",-27.07,57.63,"Precision decreases for samples containing less than 100ugC",3.03,8.23,"Contained less nitrogen than smallest reference","7RGOLDSMITH","D8","Root","13C, 15N",2.373,2162205,22258,"M"
"N3CON3root15","N3CON","N3","CON",3,"15",-29.93,801.16,"",1.08,49.87,"","6RGOLDSMITH","C2","Root","13C, 15N",2.383,2162091,22079,"M"
"N3CON3root30","N3CON","N3","CON",3,"30",-29.19,268.22,"",0.88,20.23,"","7RGOLDSMITH","A1","Root","13C, 15N",2.583,2162162,22202,"M"
"N3CON3root60","N3CON","N3","CON",3,"60",-24.97,78.27,"Precision decreases for samples containing less than 100ugC",1.34,10.16,"Contained less nitrogen than smallest reference","5RGOLDSMITH","F4","Root","13C, 15N",2.861,2162033,21972,"M"
"N3CON4root15","N3CON","N3","CON",4,"15",-27.79,1132.51,"",1.73,65.18,"","5RGOLDSMITH","E5","Root","13C, 15N",2.555,2162022,21958,"M"
"N3CON4root30","N3CON","N3","CON",4,"30",-29.61,678.15,"",0.66,39.21,"","5RGOLDSMITH","G7","Root","13C, 15N",2.322,2162048,21993,"M"
"N3CON4root60","N3CON","N3","CON",4,"60",-30.81,390.92,"",0.27,21.92,"","6RGOLDSMITH","A2","Root","13C, 15N",2.307,2162067,22045,"M"
"N3CON5root15","N3CON","N3","CON",5,"15",-29.19,672.29,"",0.84,48.41,"","7RGOLDSMITH","D7","Root","13C, 15N",2.243,2162204,22257,"M"
"N3CON5root30","N3CON","N3","CON",5,"30",-28.03,252.92,"",1.51,20.51,"","7RGOLDSMITH","E8","Root","13C, 15N",2.342,2162217,22299,"M"
"N3CON5root60","N3CON","N3","CON",5,"60",-28.56,82.37,"Precision decreases for samples containing less than 100ugC",-1.32,7.03,"Contained less nitrogen than smallest reference","7RGOLDSMITH","G5","Root","13C, 15N",2.939,2162238,22330,"M"
"N3CON6root15","N3CON","N3","CON",6,"15",-30.28,574.63,"",0.8,35.22,"","7RGOLDSMITH","C5","Root","13C, 15N",2.313,2162190,22239,"M"
"N3CON6root30","N3CON","N3","CON",6,"30",-29.54,203.02,"",2.64,13.62,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","G1","Root","13C, 15N",2.586,2162234,22326,"M"
