sample_id,total_c_ug,total_n_ug,delta_c13,delta_n15,site_treatment,zone,soil_depth,treatment,site_id
N2-CON-6-soil-30,762.37,79.89,-27.18,5.48,N2-CON,North,30,CON,N2
N2-CON-6-soil-60,430.32,43.13,-25.3,6.57,N2-CON,North,60,CON,N2
N2-CON-7-soil-15,1538.84,122.76,-28.54,2.5,N2-CON,North,15,CON,N2
N2-CON-7-soil-30,843.12,80.45,-27.04,5.52,N2-CON,North,30,CON,N2
N2-CON-7-soil-60,607.15,60.95,-25.94,6.57,N2-CON,North,60,CON,N2
N2-CON-8-soil-15,269.15,24.09,-27.49,4.27,N2-CON,North,15,CON,N2
N2-CON-8-soil-30,793.03,77.06,-26.94,5.45,N2-CON,North,30,CON,N2
N2-CON-8-soil-60,591.63,59.3,-25.93,5.72,N2-CON,North,60,CON,N2
N2-CON-9-soil-15,1100.31,102.34,-28.17,4.04,N2-CON,North,15,CON,N2
N2-CON-9-soil-30,702.25,68.15,-27.1,5.6,N2-CON,North,30,CON,N2
N2-CON-9-soil-60,450.17,46.04,-25.82,6.55,N2-CON,North,60,CON,N2
N3-CO2-10-soil-15,820,74.92,-28.35,4.74,N3-CO2,North,15,CO2,N3
N3-CO2-10-soil-30,647.77,68.02,-28.25,5.21,N3-CO2,North,30,CO2,N3
N3-CO2-1-soil-15,1338.72,65.77,-9.06,4.44,N3-CO2,North,15,CO2,N3
N3-CO2-1-soil-30,591.68,22.05,-5.27,4.54,N3-CO2,North,30,CO2,N3
N3-CO2-1-soil-60,1028.31,8.57,2.79,1.68,N3-CO2,North,60,CO2,N3
N3-CO2-2-soil-15,1536.73,59.01,-13.94,1.43,N3-CO2,North,15,CO2,N3
N3-CO2-2-soil-30,1048.04,39.44,-8.16,2.85,N3-CO2,North,30,CO2,N3
N3-CO2-2-soil-60,915.72,15.72,-0.95,2.84,N3-CO2,North,60,CO2,N3
N3-CO2-3-soil-30,515.78,53.85,-28.42,5.43,N3-CO2,North,30,CO2,N3
N3-CO2-3-soil-35,1262.91,127.07,-29.04,4.05,N3-CO2,North,35,CO2,N3
N3-CO2-4-soil-15,1863.35,144.66,-27.19,3.67,N3-CO2,North,15,CO2,N3
N3-CO2-4-soil-60,261.54,25.65,-24.45,5.42,N3-CO2,North,60,CO2,N3
N3-CO2-5-soil-15,1523.14,121.43,-29.41,3.5,N3-CO2,North,15,CO2,N3
N3-CO2-5-soil-30,1143.98,88.62,-25.89,3.66,N3-CO2,North,30,CO2,N3
N3-CO2-5-soil-60,863.37,68.1,-25,4.54,N3-CO2,North,60,CO2,N3
N3-CO2-6-soil-15,1352.45,96.73,-29.21,4.26,N3-CO2,North,15,CO2,N3
N3-CO2-6-soil-30,445.36,43.53,-27.85,5.86,N3-CO2,North,30,CO2,N3
N3-CO2-6-soil-60,289.59,28.49,-27.49,5.98,N3-CO2,North,60,CO2,N3
