"time_of_day","site","aranet","treatment","mean_co2","mean_temp","mean_rh","mean_pressure","median_co2","median_temp","median_rh","median_pressure","sd_co2","sd_temp","sd_rh","sd_pressure"
"Evening","N4","4","Control",550.788888888889,25.0605555555556,68.7013888888889,966.806388888889,443,24.6,63.5,966.8,173.899695767173,2.99609847780467,16.5779986666944,0.486518258110714
"Evening","N7","7","Elevated",506.3,22.2047222222222,91.65,NA,507,22.4,90,NA,11.9228719129164,1.18606342188368,5.52328572832954,NA
"Evening","N7","8","Control",473.530555555556,22.5663888888889,88.5,950.175555555556,474,22.9,85,950.2,13.1767144882336,1.40782068048451,7.55628831081846,0.463800723491365
"Evening","S1","15","Elevated",534.748611111111,24.397380952381,70.4916666666667,946.109305555556,458,23.6,71,931.9,175.221606155505,3.34511442408845,15.0797578218823,25.3973032981083
"Evening","S1","16","Control",475.465277777778,24.0561111111111,69.9138888888889,945.068888888889,452,23.2,72,929.95,44.8173100738912,3.31896667547631,15.8863602201593,25.9781384262487
"Evening","S3","11","Elevated",524.7,22.7322916666667,76.1770833333333,935.333472222222,464,22.5,79,920,132.519112130729,2.76183516018788,16.6386157127119,29.1475461861186
"Evening","S3","12","Control",548.687121212121,22.6809848484848,76.7659090909091,936.680227272727,485,22.4,80,920,134.960432190546,3.01332807879596,17.3739294270752,30.068957567527
"Evening","S3","21","Source",489.359166666667,23.24125,78.9416666666667,926.6605,468,22.2,79,921.3,106.615152886412,4.25961387484856,14.0291581460707,11.2506379283501
"Evening","S4","13","Elevated",496.903787878788,22.4324242424242,75.5643939393939,931.053636363636,460,21.9,80,912.3,90.8028080388134,3.12352372922858,19.2461121486753,33.1520002329136
"Evening","S4","14","Control",443.655555555556,21.0927777777778,84.2180555555556,914.120277777778,444,20.5,85.5,913.9,10.7533077213949,1.66333380251456,9.84912365775952,0.957238686671566
"Evening","S4","22","Source",477.062962962963,24.0875,74.0703703703704,921.673055555556,446,22.45,73,913.6,122.442972364613,4.72982190421561,15.1682150186055,14.575311623172
"Evening","S5","19","Elevated",548.925833333333,23.4398333333333,73.5291666666667,944.707166666667,455,22.5,80,927.2,189.462750369178,4.3792002086696,17.8845099378947,28.1205696481538
"Evening","S5","20","Control",442.105,21.7356666666667,81.2666666666667,922.668666666667,437,22.1,77,922.6,16.9815959006278,1.31580652081626,8.58477642103863,1.1150742306181
"Evening","S5","24","Source",442.411666666667,22.1525,80.7816666666667,925.6055,435,22.4,78,925.5,26.4713067431519,1.42418664366484,8.28744835414334,1.08482617488526
"Evening","S6","17","Elevated",501.69375,24.1860416666667,72.0708333333333,941.273333333333,435.5,23.5,72,929.3,153.988034834732,3.78801867237836,15.3043228380792,23.7612072746842
"Evening","S6","18","Control",534.546975546976,24.4866151866152,68.8622908622909,942.478378378378,473,23.5,68,926.9,166.056111399845,3.86319882377099,15.4299324651538,26.4456059325581
"Evening","S6","23","Source",494.555555555556,26.5091666666667,78.6625,934.148194444444,477,26.1,72,929.7,55.1521069996963,3.86477971599021,12.3661674201036,10.9348378240156
"Morning","N1","5","Elevated",578.28311585607,22.1623320158103,73.7616600790514,971.265612648221,487,21.9,93,952.3,178.637013163379,1.62185062896546,26.1844695505107,38.6964519402502
"Morning","N1","6","Control",490.799857040743,20.9664760543245,98.8062902072909,948.663902787706,491,20.8,99,948.7,11.1729785922701,0.783419801766323,0.735617774000043,0.932303395598395
"Morning","N3","2","Control",598.358670741024,22.4922841864018,73.9816653934301,979.710656990069,494,21.9,80,968.5,201.325996203886,1.36148002990302,23.7335315462252,34.2483856443953
"Morning","N3","3","Elevated",633.399274047187,22.6689292196007,73.643557168784,979.135426497278,528,22.5,54,968.3,201.538880631391,1.261335003764,22.4620229255281,33.2922564025623
"Morning","N4","1","Elevated",608.198509219302,22.9124754805806,73.8195370733621,980.711533934876,497,22.6,84,969.4,215.816377080844,1.32318168231363,22.0422651941141,34.3301464663069
"Morning","N4","4","Control",568.078731343284,23.0127611940298,73.22408650261,969.721903323263,456,22.4,75,969.7,208.230345925905,1.57197882289197,20.8543583238865,1.00271166871188
"Morning","N7","7","Elevated",520.314989138306,21.4133236784938,97.0759259259259,NA,519,21,99,NA,16.362469865227,1.12450144969836,3.47795574405741,NA
"Morning","N7","8","Control",491.127521613833,21.4958213256484,96.4085014409222,953.002161383285,490,21.1,99,953.1,15.186949124224,1.16613342684533,4.04903076005707,0.940598191234761
"Morning","S1","15","Elevated",584.812108559499,23.0459183673469,70.8131524008351,946.471120389701,459,22.7,75,934,228.039517995691,2.44425199350392,13.7062395800135,22.9498386329756
"Morning","S1","16","Control",582.679861111111,24.3329861111111,65.93125,945.362534722222,454,23.9,67,932.1,224.142603059763,2.84529472828578,14.1218877497252,23.4968204709936
"Morning","S3","11","Elevated",559.832286023835,21.5021885157096,78.4340195016251,936.166565547129,473,21.5,85,922.3,214.19323549155,1.95216460921287,17.7568930731731,32.2154632935761
"Morning","S3","12","Control",582.793340732519,21.6074139844617,78.8230854605993,936.436936736959,496,21.5,85,922.2,217.968649769789,2.35970617379991,18.159215418035,32.5510956238947
"Morning","S3","21","Source",516.834318006679,21.6626252247624,81.2286154636527,931.299023889032,472,21.3,83,924.1,142.835195763495,2.65099372330796,13.5468860762591,14.6824011128471
"Morning","S4","13","Elevated",563.831508379888,21.4148603351955,77.2712849162011,931.233430167598,471,21.1,84,914.6,215.649837115514,2.71399631390475,19.9203188102039,35.0280247302898
"Morning","S4","14","Control",452.402674591382,20.5132615156018,86.7696879643388,916.347734026746,451,20.2,89,916.4,14.1191708340154,1.56726506799125,7.60124788152131,1.04436627707186
"Morning","S4","22","Source",505.2456,21.6462933333333,79.4568,926.317786666667,454,21.4,81,916.7,147.895251046301,2.48572791863839,13.2035837177941,17.5515624449684
"Morning","S5","19","Elevated",597.217236467236,22.3812915479582,72.6949192782526,942.313224121557,455,22,79,927.4,432.466723216131,2.36135804569961,15.9868071594011,32.2873930879261
"Morning","S5","20","Control",446.037962962963,21.2885185185185,84.0171296296296,924.979027777778,444,21.1,83,925.1,11.558195723875,1.56064309900535,8.13971235275528,1.12543130702563
"Morning","S5","24","Source",484.371693735499,22.0468213457077,83.7164733178654,931.542180974478,445,21.3,84,928.4,139.234325632093,2.12355426009122,10.1800815311144,8.58977160928263
"Morning","S6","17","Elevated",561.476793248945,22.6459915611814,74.8257986738999,943.903375527426,442,22.3,81,932.1,244.211183434101,2.93614905369775,16.2611091094814,22.6091258624104
"Morning","S6","18","Control",591.284517304189,23.135883424408,70.4652094717669,944.86306010929,466,22.7,76,929.3,222.875330229856,2.85168838298218,15.4013474797701,24.9240512121272
"Morning","S6","23","Source",540.044731977819,23.2999630314233,82.4802218114603,934.526173752311,481,22.9,82,931.6,175.012057474974,2.42132338841707,10.0515533527337,10.4988078165529
"Night","N1","5","Elevated",665.846225190132,22.3979595622334,70.1406307977737,977.869666048237,517,22.1,48,965.5,490.512726998052,2.2059515363953,26.4841704152854,31.032644298152
"Night","N1","6","Control",496.567135050742,20.6467213114754,98.7864115579852,947.370128855916,496,20.7,99,947.3,11.4373657682621,0.296930449640351,0.677820243218186,0.961136383377594
"Night","N3","2","Control",663.096001508865,23.4682006789891,71.4081478687288,984.349226706903,478,23.3,53,968.4,523.925560775898,1.87384416412359,22.039086404902,23.9099311766432
"Night","N3","3","Elevated",709.65428516154,23.1975236989747,72.8752176436448,983.486128845038,511,22.9,77,968.4,561.492539354437,1.53621581720321,21.4730756758837,23.044108480256
"Night","N4","1","Elevated",676.397594819612,23.0037187789084,72.9807585568918,984.911877890842,495,22.6,53,968.1,521.910764896941,1.77802271542366,22.6172575765301,23.7527827558233
"Night","N4","4","Control",641.476717557252,22.8536259541985,74.412213740458,970.645566860465,449,22.6,80,968.4,525.345487747236,1.49838948388053,21.4048747167049,10.7039077363001
"Night","N7","7","Elevated",522.998450213096,20.9258039519566,97.48095703125,NA,523,20.9,99,NA,24.2152811785961,0.439741580561014,2.53333971748577,NA
"Night","N7","8","Control",492.296814296814,21.0468324912553,96.3400699572483,951.710415856976,491,21,99,951.7,16.2030599073252,0.491374545865915,3.5576478190562,0.964905344118122
"Night","S1","15","Elevated",759.54630738523,22.3896012931034,71.8335329341317,948.758922155689,491,22.1,76,948.4,679.290857458783,2.32568803701077,15.2924454321825,20.5863141877952
"Night","S1","16","Control",622.938259109312,22.2463859080786,71.5051629884592,947.562583518931,462,21.5,77,948.2,250.263923118423,2.41683808229065,16.581198138309,20.9150558121709
"Night","S3","11","Elevated",633.078225271078,20.9027660986944,80.6474883823855,938.039167957513,473,20.4,88,921.7,473.931656901947,2.24155900946429,18.8282538333484,30.4873517049389
"Night","S3","12","Control",655.702851885925,20.7878794848206,81.4369177688327,938.052006900518,493,20.2,91,921.6,473.539949228922,2.34921010051096,19.2465304322094,30.3595803720674
"Night","S3","21","Source",534.10073284477,20.6943763326226,82.9060501066098,933.076932302772,473,20.2,86,923.5,192.025650524136,2.00468007271833,14.4296921532339,15.5760657228172
"Night","S4","13","Elevated",564.302798682973,20.531785042333,81.0510408091262,930.729471951076,471,19.8,91,913.8,246.654087522138,2.61025935473538,20.5256088168049,31.1926168783833
"Night","S4","14","Control",453.512869399428,19.4663870352717,90.2442326024785,915.375309818875,452,19.5,92,915.5,14.2130486379849,0.830458508160064,5.55380962075834,1.24751565642795
"Night","S4","22","Source",514.114043754411,20.4393421795596,82.632269904009,927.328613777527,450,19.8,85,915.4,196.704757684565,2.16969831022307,13.5755272617617,18.7294201802684
"Night","S5","19","Elevated",668.46892511462,22.4860927152318,70.9907030056037,949.445415180846,456,22.4,74,949.2,579.976698021642,2.45056489149258,17.7230362717143,29.3829771022089
"Night","S5","20","Control",451.302037657983,20.0029146247098,88.5135413979881,924.205132834666,446,20.1,87,924.3,16.7401012284554,1.00390068242356,6.69732127412641,1.31144323092289
"Night","S5","24","Source",492.313775510204,20.3759948979592,88.1543367346939,929.099107142857,448,20.4,88,927.5,131.01118115715,0.769123983463492,5.5844356455083,6.42514490748371
"Night","S6","17","Elevated",681.70248447205,21.6976704457214,75.9378785525703,941.057881658643,442,21.4,79,931.3,641.976271002235,2.17710648482566,15.722454679422,17.229518447098
"Night","S6","18","Control",744.868005738881,21.9926009428161,72.1184668989547,941.690221402214,457,21.4,74,929,703.027263139521,2.34977526749164,15.8258739866087,18.4920521892171
"Night","S6","23","Source",555.808094242827,22.5537526125784,81.4648422652984,940.326092740403,475,22.4,82,932.8,207.137556580407,1.4259515341106,11.1753234058549,10.2180152882846
