"Site","Treatment","time_of_day","aranet_co2_mean","aranet_co2_sd","aranet_co2_median","aranet_t_mean","aranet_t_sd","aranet_t_median","aranet_hpa_mean","aranet_hpa_sd","aranet_hpa_median","aranet_rh_mean","aranet_rh_sd","aranet_rh_median"
"S1","Control","Afternoon",470.396805896806,64.5495843552597,442,25.7010442260442,2.27497113928562,25.9,941.810687960688,25.5018339848038,929.8,63.0780098280098,11.2113049000131,62
"S1","Control","Evening",475.465277777778,44.8173100738912,452,24.0561111111111,3.31896667547631,23.2,945.068888888889,25.9781384262487,929.95,69.9138888888889,15.8863602201593,72
"S1","Control","Morning",564.834810350939,188.809167628899,453,24.4267635590216,2.79920767356579,24,945.246082949309,23.7273501494007,932.1,65.8511166253102,14.2573543170358,66
"S1","Control","Night",577.723801258407,189.442481673543,453,22.3777126736111,2.44829053962923,21.8,947.403211805556,21.6443579597089,932.7,71.9097222222222,17.0809462456291,78
"S1","Elevated","Afternoon",501.59737704918,112.61743590473,447,25.1782295081967,2.43180981226729,25.3,943.782032786885,25.6425464565915,931.9,66.1068852459016,12.1644348896416,66
"S1","Elevated","Evening",520.024045261669,136.491729928423,455,24.2154172560113,3.48735513308215,23.4,945.108203677511,24.5212659171467,931.9,70.7949080622348,15.0494586723265,72
"S1","Elevated","Morning",567.903798367057,196.460193358211,458,23.3133475328363,2.47939363611924,22.9,946.376890308839,23.171252007342,934,70.7266595669152,13.8305688051984,75
"S1","Elevated","Night",591.485810055866,193.123161793532,468,22.1170279329609,1.68591037789797,21.9,947.297921787709,20.5893568659615,934.3,72.939217877095,15.4205352468885,78
"S3","Control","Afternoon",481.846305418719,23.0035252113487,479,22.9547290640394,1.95042672675854,23.3,921.495123152709,7.21393774861641,919.7,80.0655172413793,12.121576634738,78
"S3","Control","Evening",485.355660377359,26.0232865145372,480,21.5645283018868,1.51083160790715,21.8,922.659811320755,9.479679971044,919.6,82.9915094339623,13.3587431479826,82
"S3","Control","Morning",491.320095550911,18.2760007544073,490,21.198805613616,2.37785452065558,20.8,924.759361003285,15.7949956443546,921.9,87.4287847118543,10.3547336665503,91
"S3","Control","Night",488.951504528192,14.3334285168103,489,20.0254747297692,1.20860061350712,19.9,927.783739956172,23.8589956724282,921.1,88.6492330168006,14.0033331199311,93
"S3","Elevated","Afternoon",461.496935201401,25.0187050352532,457,23.116112084063,1.90406889344592,23.6,921.582486865149,7.19986005955545,919.8,78.7346760070052,11.5984278100724,76
"S3","Elevated","Evening",467.203333333333,28.2487813943205,460,21.7928333333333,1.42327793219823,22.3,922.920416666667,9.6807380262905,919.65,81.27,13.2719838241635,81
"S3","Elevated","Morning",472.111392405063,23.9972675276214,468,21.1120675105485,1.79618744484755,20.7,926.168945147679,18.8523483603838,921.9,86.3513361462729,10.6715187074361,88
"S3","Elevated","Night",469.362967078761,14.9923782017151,468,20.240477844145,1.19033366848105,20.2,928.29931934991,24.5048579163052,921.3,87.4861786359217,13.9205280919293,92
"S3","Source","Afternoon",468.959302325581,25.1378952818217,462,24.3323792486583,4.58683339577808,23.4,924.569722719141,9.73077776419929,921.2,76.1207513416816,13.9235913804464,74
"S3","Source","Evening",476.426382978723,29.3530379443985,467,23.1170212765957,4.21762946151919,22.1,926.609872340426,11.3351650711325,921.3,79.2212765957447,14.043630846893,79
"S3","Source","Morning",473.591467157766,21.5272941030482,469,21.3758747697974,2.62465014449481,21,926.94248004911,9.01593105685621,923.9,85.2648864333947,9.06057808448488,85
"S3","Source","Night",474.614647804303,18.5500867676525,471,20.5893309755379,2.00480144223557,20.2,930.487267904509,13.8204710763894,923.4,85.5134099616858,12.1963262024341,87
"S4","Control","Afternoon",442.429861111111,9.61644251395488,443,22.7604861111111,2.26958033544586,22.8,914.268125,1.18164881022319,913.9,79.2319444444445,11.4656489271237,83.5
"S4","Control","Evening",443.542420027816,10.3230855353893,444,21.0912378303199,1.66397801635152,20.2,914.121696801113,0.957146939862612,913.9,84.230876216968,9.84996603277257,89
"S4","Control","Morning",451.733831775701,11.1695053157857,451,20.5280747663551,1.56097719631714,20.3,916.352897196262,1.04522367847449,916.4,86.7203738317757,7.59991633880478,89
"S4","Control","Night",452.86111643967,11.2820486482008,452,19.4665259927105,0.830995942627329,19.5,915.379666219068,1.24984762073687,915.5,90.2370995587953,5.55788186575751,92
"S4","Elevated","Afternoon",452.143835616438,15.5616300368114,452,22.9018440463646,2.28921326844456,23.4,912.844362486828,2.83915360424774,912,80.290832455216,10.9673272492651,76
"S4","Elevated","Evening",454.373727087576,16.3913605124278,454,21.1352342158859,1.69718267963209,21.3,913.1,8.15201519146997,911.8,85.5112016293279,10.5324786157926,83
"S4","Elevated","Morning",463.997151898734,16.0414248325239,463,20.9004746835443,2.81604238983823,20.3,914.89753164557,4.57517907965368,914.1,87.775,9.78821356137133,90
"S4","Elevated","Night",467.684445104739,15.8192509792874,466,19.8134155400386,2.01323771290621,19.4,918.364160475483,19.0370528863767,913.4,89.0441307578009,14.1161239945761,94
"S4","Source","Afternoon",454.230481283422,25.1617098775699,447,25.9070588235294,4.7244866510964,25.7,917.680802139037,9.88398082443623,914,70.4417112299465,14.6572969704685,68
"S4","Source","Evening",450.322722283205,25.1435247087363,443,23.6925356750823,4.55722699116476,21.8,918.182327113063,11.4935818433412,913.1,77.5598243688255,13.4020045069491,76
"S4","Source","Morning",454.806484295846,18.9696068743327,450,21.3444782168186,2.44071130934319,21.1,920.750185748058,11.6601918995532,916,83.4066193853428,8.62586521825663,84
"S4","Source","Night",454.632672184913,20.0987411226949,449,20.379162761637,2.21415184960818,19.7,924.738566073102,17.2543657287975,915.2,84.6657294595439,11.8501465910579,87
