"site_treatment","depth","sample_id.soil","total_c_ug.soil","total_n_ug.soil","site_id_soils","zone","treatment","sample_id.roots","Site","Treatment","total_c_ug.roots.litter","total_n_ug.roots.litter"
"N1-CO2","30","N1-CO2-7-soil-30",737.74,72.75,"N1","north","CO2","N1CO210root30","N1","CO2",628.44,44.36
"N1-CO2","30","N1-CO2-7-soil-30",737.74,72.75,"N1","north","CO2","N1CO22root30","N1","CO2",502.64,39.61
"N1-CO2","30","N1-CO2-7-soil-30",737.74,72.75,"N1","north","CO2","N1CO26root30","N1","CO2",684.68,44.91
"N1-CO2","30","N1-CO2-7-soil-30",737.74,72.75,"N1","north","CO2","N1CO23root30","N1","CO2",850.34,33.52
"N1-CO2","30","N1-CO2-7-soil-30",737.74,72.75,"N1","north","CO2","N1CO28root30","N1","CO2",493.66,32.76
"N1-CO2","30","N1-CO2-7-soil-30",737.74,72.75,"N1","north","CO2","N1CO27root30","N1","CO2",287.84,25.29
"N1-CO2","30","N1-CO2-7-soil-30",737.74,72.75,"N1","north","CO2","N1CO24root30","N1","CO2",603.52,45.39
"N1-CO2","30","N1-CO2-7-soil-30",737.74,72.75,"N1","north","CO2","N1CO29root30","N1","CO2",317.21,25.89
"N1-CO2","30","N1-CO2-7-soil-30",737.74,72.75,"N1","north","CO2","N1CO21root30","N1","CO2",354.36,26.45
"N1-CO2","30","N1-CO2-7-soil-30",737.74,72.75,"N1","north","CO2","N1CO25root30","N1","CO2",701.87,31.93
"N1-CO2","30","N1-CO2-4-soil-30",1050.58,98.84,"N1","north","CO2","N1CO210root30","N1","CO2",628.44,44.36
"N1-CO2","30","N1-CO2-4-soil-30",1050.58,98.84,"N1","north","CO2","N1CO22root30","N1","CO2",502.64,39.61
"N1-CO2","30","N1-CO2-4-soil-30",1050.58,98.84,"N1","north","CO2","N1CO26root30","N1","CO2",684.68,44.91
"N1-CO2","30","N1-CO2-4-soil-30",1050.58,98.84,"N1","north","CO2","N1CO23root30","N1","CO2",850.34,33.52
"N1-CO2","30","N1-CO2-4-soil-30",1050.58,98.84,"N1","north","CO2","N1CO28root30","N1","CO2",493.66,32.76
"N1-CO2","30","N1-CO2-4-soil-30",1050.58,98.84,"N1","north","CO2","N1CO27root30","N1","CO2",287.84,25.29
"N1-CO2","30","N1-CO2-4-soil-30",1050.58,98.84,"N1","north","CO2","N1CO24root30","N1","CO2",603.52,45.39
"N1-CO2","30","N1-CO2-4-soil-30",1050.58,98.84,"N1","north","CO2","N1CO29root30","N1","CO2",317.21,25.89
"N1-CO2","30","N1-CO2-4-soil-30",1050.58,98.84,"N1","north","CO2","N1CO21root30","N1","CO2",354.36,26.45
"N1-CO2","30","N1-CO2-4-soil-30",1050.58,98.84,"N1","north","CO2","N1CO25root30","N1","CO2",701.87,31.93
"N1-CO2","30","N1-CO2-3-soil-30",1072.85,102.48,"N1","north","CO2","N1CO210root30","N1","CO2",628.44,44.36
"N1-CO2","30","N1-CO2-3-soil-30",1072.85,102.48,"N1","north","CO2","N1CO22root30","N1","CO2",502.64,39.61
"N1-CO2","30","N1-CO2-3-soil-30",1072.85,102.48,"N1","north","CO2","N1CO26root30","N1","CO2",684.68,44.91
"N1-CO2","30","N1-CO2-3-soil-30",1072.85,102.48,"N1","north","CO2","N1CO23root30","N1","CO2",850.34,33.52
"N1-CO2","30","N1-CO2-3-soil-30",1072.85,102.48,"N1","north","CO2","N1CO28root30","N1","CO2",493.66,32.76
"N1-CO2","30","N1-CO2-3-soil-30",1072.85,102.48,"N1","north","CO2","N1CO27root30","N1","CO2",287.84,25.29
"N1-CO2","30","N1-CO2-3-soil-30",1072.85,102.48,"N1","north","CO2","N1CO24root30","N1","CO2",603.52,45.39
"N1-CO2","30","N1-CO2-3-soil-30",1072.85,102.48,"N1","north","CO2","N1CO29root30","N1","CO2",317.21,25.89
"N1-CO2","30","N1-CO2-3-soil-30",1072.85,102.48,"N1","north","CO2","N1CO21root30","N1","CO2",354.36,26.45
"N1-CO2","30","N1-CO2-3-soil-30",1072.85,102.48,"N1","north","CO2","N1CO25root30","N1","CO2",701.87,31.93
"N1-CO2","30","N1-CO2-5-soil-30",707.35,67.42,"N1","north","CO2","N1CO210root30","N1","CO2",628.44,44.36
"N1-CO2","30","N1-CO2-5-soil-30",707.35,67.42,"N1","north","CO2","N1CO22root30","N1","CO2",502.64,39.61
"N1-CO2","30","N1-CO2-5-soil-30",707.35,67.42,"N1","north","CO2","N1CO26root30","N1","CO2",684.68,44.91
"N1-CO2","30","N1-CO2-5-soil-30",707.35,67.42,"N1","north","CO2","N1CO23root30","N1","CO2",850.34,33.52
"N1-CO2","30","N1-CO2-5-soil-30",707.35,67.42,"N1","north","CO2","N1CO28root30","N1","CO2",493.66,32.76
"N1-CO2","30","N1-CO2-5-soil-30",707.35,67.42,"N1","north","CO2","N1CO27root30","N1","CO2",287.84,25.29
"N1-CO2","30","N1-CO2-5-soil-30",707.35,67.42,"N1","north","CO2","N1CO24root30","N1","CO2",603.52,45.39
"N1-CO2","30","N1-CO2-5-soil-30",707.35,67.42,"N1","north","CO2","N1CO29root30","N1","CO2",317.21,25.89
"N1-CO2","30","N1-CO2-5-soil-30",707.35,67.42,"N1","north","CO2","N1CO21root30","N1","CO2",354.36,26.45
"N1-CO2","30","N1-CO2-5-soil-30",707.35,67.42,"N1","north","CO2","N1CO25root30","N1","CO2",701.87,31.93
"N1-CO2","30","N1-CO2-6-soil-30",751.84,72.78,"N1","north","CO2","N1CO210root30","N1","CO2",628.44,44.36
"N1-CO2","30","N1-CO2-6-soil-30",751.84,72.78,"N1","north","CO2","N1CO22root30","N1","CO2",502.64,39.61
"N1-CO2","30","N1-CO2-6-soil-30",751.84,72.78,"N1","north","CO2","N1CO26root30","N1","CO2",684.68,44.91
"N1-CO2","30","N1-CO2-6-soil-30",751.84,72.78,"N1","north","CO2","N1CO23root30","N1","CO2",850.34,33.52
"N1-CO2","30","N1-CO2-6-soil-30",751.84,72.78,"N1","north","CO2","N1CO28root30","N1","CO2",493.66,32.76
"N1-CO2","30","N1-CO2-6-soil-30",751.84,72.78,"N1","north","CO2","N1CO27root30","N1","CO2",287.84,25.29
"N1-CO2","30","N1-CO2-6-soil-30",751.84,72.78,"N1","north","CO2","N1CO24root30","N1","CO2",603.52,45.39
"N1-CO2","30","N1-CO2-6-soil-30",751.84,72.78,"N1","north","CO2","N1CO29root30","N1","CO2",317.21,25.89
"N1-CO2","30","N1-CO2-6-soil-30",751.84,72.78,"N1","north","CO2","N1CO21root30","N1","CO2",354.36,26.45
"N1-CO2","30","N1-CO2-6-soil-30",751.84,72.78,"N1","north","CO2","N1CO25root30","N1","CO2",701.87,31.93
"N1-CO2","30","N1-CO2-1-soil-30",1055,94.85,"N1","north","CO2","N1CO210root30","N1","CO2",628.44,44.36
"N1-CO2","30","N1-CO2-1-soil-30",1055,94.85,"N1","north","CO2","N1CO22root30","N1","CO2",502.64,39.61
"N1-CO2","30","N1-CO2-1-soil-30",1055,94.85,"N1","north","CO2","N1CO26root30","N1","CO2",684.68,44.91
"N1-CO2","30","N1-CO2-1-soil-30",1055,94.85,"N1","north","CO2","N1CO23root30","N1","CO2",850.34,33.52
"N1-CO2","30","N1-CO2-1-soil-30",1055,94.85,"N1","north","CO2","N1CO28root30","N1","CO2",493.66,32.76
"N1-CO2","30","N1-CO2-1-soil-30",1055,94.85,"N1","north","CO2","N1CO27root30","N1","CO2",287.84,25.29
"N1-CO2","30","N1-CO2-1-soil-30",1055,94.85,"N1","north","CO2","N1CO24root30","N1","CO2",603.52,45.39
"N1-CO2","30","N1-CO2-1-soil-30",1055,94.85,"N1","north","CO2","N1CO29root30","N1","CO2",317.21,25.89
"N1-CO2","30","N1-CO2-1-soil-30",1055,94.85,"N1","north","CO2","N1CO21root30","N1","CO2",354.36,26.45
"N1-CO2","30","N1-CO2-1-soil-30",1055,94.85,"N1","north","CO2","N1CO25root30","N1","CO2",701.87,31.93
"N1-CO2","30","N1-CO2-2-soil-30",541.1,48.88,"N1","north","CO2","N1CO210root30","N1","CO2",628.44,44.36
"N1-CO2","30","N1-CO2-2-soil-30",541.1,48.88,"N1","north","CO2","N1CO22root30","N1","CO2",502.64,39.61
"N1-CO2","30","N1-CO2-2-soil-30",541.1,48.88,"N1","north","CO2","N1CO26root30","N1","CO2",684.68,44.91
"N1-CO2","30","N1-CO2-2-soil-30",541.1,48.88,"N1","north","CO2","N1CO23root30","N1","CO2",850.34,33.52
"N1-CO2","30","N1-CO2-2-soil-30",541.1,48.88,"N1","north","CO2","N1CO28root30","N1","CO2",493.66,32.76
"N1-CO2","30","N1-CO2-2-soil-30",541.1,48.88,"N1","north","CO2","N1CO27root30","N1","CO2",287.84,25.29
"N1-CO2","30","N1-CO2-2-soil-30",541.1,48.88,"N1","north","CO2","N1CO24root30","N1","CO2",603.52,45.39
"N1-CO2","30","N1-CO2-2-soil-30",541.1,48.88,"N1","north","CO2","N1CO29root30","N1","CO2",317.21,25.89
"N1-CO2","30","N1-CO2-2-soil-30",541.1,48.88,"N1","north","CO2","N1CO21root30","N1","CO2",354.36,26.45
"N1-CO2","30","N1-CO2-2-soil-30",541.1,48.88,"N1","north","CO2","N1CO25root30","N1","CO2",701.87,31.93
"N1-CO2","30","N1-CO2-8-soil-30",745.63,69.72,"N1","north","CO2","N1CO210root30","N1","CO2",628.44,44.36
"N1-CO2","30","N1-CO2-8-soil-30",745.63,69.72,"N1","north","CO2","N1CO22root30","N1","CO2",502.64,39.61
"N1-CO2","30","N1-CO2-8-soil-30",745.63,69.72,"N1","north","CO2","N1CO26root30","N1","CO2",684.68,44.91
"N1-CO2","30","N1-CO2-8-soil-30",745.63,69.72,"N1","north","CO2","N1CO23root30","N1","CO2",850.34,33.52
