"site_treatment","depth","sample_id.soil","total_c_ug.soil","total_n_ug.soil","site_id_soils","zone","treatment","sample_id.roots","Site","Treatment","total_c_ug.roots.litter","total_n_ug.roots.litter"
"N1-CO2","30","N1-CO2-8-soil-30",745.63,69.72,"N1","north","CO2","N1CO28root30","N1","CO2",493.66,32.76
"N1-CO2","30","N1-CO2-8-soil-30",745.63,69.72,"N1","north","CO2","N1CO27root30","N1","CO2",287.84,25.29
"N1-CO2","30","N1-CO2-8-soil-30",745.63,69.72,"N1","north","CO2","N1CO24root30","N1","CO2",603.52,45.39
"N1-CO2","30","N1-CO2-8-soil-30",745.63,69.72,"N1","north","CO2","N1CO29root30","N1","CO2",317.21,25.89
"N1-CO2","30","N1-CO2-8-soil-30",745.63,69.72,"N1","north","CO2","N1CO21root30","N1","CO2",354.36,26.45
"N1-CO2","30","N1-CO2-8-soil-30",745.63,69.72,"N1","north","CO2","N1CO25root30","N1","CO2",701.87,31.93
"N1-CO2","30","N1-CO2-9-soil-30",672.21,63.46,"N1","north","CO2","N1CO210root30","N1","CO2",628.44,44.36
"N1-CO2","30","N1-CO2-9-soil-30",672.21,63.46,"N1","north","CO2","N1CO22root30","N1","CO2",502.64,39.61
"N1-CO2","30","N1-CO2-9-soil-30",672.21,63.46,"N1","north","CO2","N1CO26root30","N1","CO2",684.68,44.91
"N1-CO2","30","N1-CO2-9-soil-30",672.21,63.46,"N1","north","CO2","N1CO23root30","N1","CO2",850.34,33.52
"N1-CO2","30","N1-CO2-9-soil-30",672.21,63.46,"N1","north","CO2","N1CO28root30","N1","CO2",493.66,32.76
"N1-CO2","30","N1-CO2-9-soil-30",672.21,63.46,"N1","north","CO2","N1CO27root30","N1","CO2",287.84,25.29
"N1-CO2","30","N1-CO2-9-soil-30",672.21,63.46,"N1","north","CO2","N1CO24root30","N1","CO2",603.52,45.39
"N1-CO2","30","N1-CO2-9-soil-30",672.21,63.46,"N1","north","CO2","N1CO29root30","N1","CO2",317.21,25.89
"N1-CO2","30","N1-CO2-9-soil-30",672.21,63.46,"N1","north","CO2","N1CO21root30","N1","CO2",354.36,26.45
"N1-CO2","30","N1-CO2-9-soil-30",672.21,63.46,"N1","north","CO2","N1CO25root30","N1","CO2",701.87,31.93
"N1-CO2","60","N1-CO2-10-soil-60",602.91,54.36,"N1","north","CO2","N1CO23root60","N1","CO2",212.74,13.54
"N1-CO2","60","N1-CO2-10-soil-60",602.91,54.36,"N1","north","CO2","N1CO22root60","N1","CO2",244.02,16.09
